
       102          4 ACC        3.2 F       10110       2013 Sp IS             
       101          3 IS         2.8 M       10110       2013 Sp IS             
       103          2 IS         2.5 F       10120       2013 Sp BIO            
       101          3 IS         2.8 M       10125       2013 Fa ACC            
       102          4 ACC        3.2 F       10130       2013 Fa ACC            
       103          2 IS         2.5 F       10135       2013 Fa IS             
       101          3 IS         2.8 M       10135       2013 Fa IS             
       102          4 ACC        3.2 F       10140       2013 Fa IS             
       101          3 IS         2.8 M       10140       2013 Fa IS             

9 rows selected.

